"Confirmed","Deaths","Recovered","Active","Incident_Rate","Case_Fatality_Ratio"
443552,7060,396697,39795,2370.551274811578,1.5916961258206481
451382,7143,402854,41385,2412.39849110589,1.5824733817476109
459975,7228,410118,42629,2458.3235395882684,1.5713897494429043
467028,7332,416580,43116,2496.0181010855586,1.569927284873712
474830,7423,423078,44329,2496.0181010855586,1.569927284873712
482170,7519,430195,44456,2576.9440971428344,1.5594085073729185
485405,7614,437801,39990,2594.233464283588,1.5685870561695905
489202,7713,441361,40128,2614.526424726692,1.5766493186863504
495598,7812,445782,42004,2648.709668075149,1.5762775475284403
503084,7943,452683,42458,2688.7183859779866,1.5788615817636815
510630,8041,459368,43221,2729.0477722049186,1.57472142255645
517238,8159,468143,40936,2764.3640436318433,1.5774169724575533
523117,8270,475106,39741,2795.78419492102,1.5809082862915944
529863,8391,481260,40212,2831.838003493361,1.583616897197955
534317,8512,488476,37329,2855.642282085297,1.593061796648806
540541,8621,493419,38501,2888.9062762380177,1.5948836443489025
545787,8720,498780,38287,2916.943376708,1.597692872860658
551262,8811,503717,38734,2946.2043612816087,1.5983325533049622
556744,8909,509654,38181,2975.5027571596947,1.600196858879485
561742,8998,516166,36578,3002.2144285567547,1.6018029629260409
566648,9066,522491,35091,3028.4344085235352,1.5999350566842199
570374,9174,528315,32885,3048.3479114497936,1.6084183360391602
574380,9260,533351,31769,3069.75786655516,1.6121731258052159
578324,9342,538680,30302,3090.8364643922937,1.6153574812734732
582058,9424,543514,29120,3110.792723095099,1.619082634376643
586125,9497,548376,28252,3132.528690996628,1.6203028364256766
589544,9574,553292,26678,3150.801440997937,1.6239669982223548
592250,9643,557914,24693,3165.2635824145923,1.628197551709582
593924,9706,561732,22486,3174.2102286568243,1.634215825593847
597112,9763,565039,22310,3191.2484056103704,1.6350366430418417
599575,9813,569216,20546,3204.4118403144425,1.6366593003377392
601150,9874,572523,18753,3212.82938382192,1.642518506196457
603535,9934,574925,18676,3225.5759497046697,1.645969165002858
605470,9981,578116,17373,3235.9175031567124,1.6484714354138108
607454,10014,580655,16785,3246.520935740098,1.6485198879256702
608830,10074,583509,15247,3253.874929305996,1.6546490810242596
610447,10115,585852,14480,3262.516940640339,1.6569825062618049
