Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2020-11-09,443552,7060,396697.0,39795.0,2370.551274811578,1.591696125820648
2020-11-10,451382,7143,402854.0,41385.0,2412.39849110589,1.5824733817476109
2020-11-11,459975,7228,410118.0,42629.0,2458.3235395882684,1.5713897494429043
2020-11-12,467028,7332,416580.0,43116.0,2496.0181010855586,1.569927284873712
2020-11-13,474830,7423,423078.0,44329.0,2496.0181010855586,1.569927284873712
2020-11-14,482170,7519,430195.0,44456.0,2576.9440971428344,1.5594085073729185
2020-11-15,485405,7614,437801.0,39990.0,2594.233464283588,1.5685870561695905
2020-11-16,489202,7713,441361.0,40128.0,2614.526424726692,1.5766493186863504
2020-11-17,495598,7812,445782.0,42004.0,2648.709668075149,1.5762775475284403
2020-11-18,503084,7943,452683.0,42458.0,2688.7183859779866,1.5788615817636815
2020-11-19,510630,8041,459368.0,43221.0,2729.0477722049186,1.57472142255645
2020-11-20,517238,8159,468143.0,40936.0,2764.364043631843,1.5774169724575533
2020-11-21,523117,8270,475106.0,39741.0,2795.78419492102,1.5809082862915944
2020-11-22,529863,8391,481260.0,40212.0,2831.838003493361,1.583616897197955
2020-11-23,534317,8512,488476.0,37329.0,2855.642282085297,1.593061796648806
2020-11-24,540541,8621,493419.0,38501.0,2888.9062762380177,1.5948836443489025
2020-11-25,545787,8720,498780.0,38287.0,2916.943376708,1.597692872860658
2020-11-26,551262,8811,503717.0,38734.0,2946.2043612816087,1.5983325533049622
2020-11-27,556744,8909,509654.0,38181.0,2975.5027571596947,1.600196858879485
2020-11-28,561742,8998,516166.0,36578.0,3002.2144285567547,1.6018029629260409
2020-11-29,566648,9066,522491.0,35091.0,3028.4344085235352,1.59993505668422
2020-11-30,570374,9174,528315.0,32885.0,3048.3479114497936,1.6084183360391602
2020-12-01,574380,9260,533351.0,31769.0,3069.75786655516,1.612173125805216
2020-12-02,578324,9342,538680.0,30302.0,3090.836464392294,1.615357481273473
2020-12-03,582058,9424,543514.0,29120.0,3110.792723095099,1.619082634376643
2020-12-04,586125,9497,548376.0,28252.0,3132.528690996628,1.620302836425677
2020-12-05,589544,9574,553292.0,26678.0,3150.801440997937,1.6239669982223548
2020-12-06,592250,9643,557914.0,24693.0,3165.2635824145923,1.628197551709582
2020-12-07,593924,9706,561732.0,22486.0,3174.2102286568243,1.634215825593847
2020-12-08,597112,9763,565039.0,22310.0,3191.2484056103704,1.6350366430418417
2020-12-09,599575,9813,569216.0,20546.0,3204.4118403144425,1.6366593003377392
2020-12-10,601150,9874,572523.0,18753.0,3212.82938382192,1.642518506196457
2020-12-11,603535,9934,574925.0,18676.0,3225.5759497046697,1.645969165002858
2020-12-12,605470,9981,578116.0,17373.0,3235.9175031567124,1.6484714354138108
2020-12-13,607454,10014,580655.0,16785.0,3246.520935740098,1.6485198879256702
2020-12-14,608830,10074,583509.0,15247.0,3253.874929305996,1.6546490810242596
2020-12-15,610447,10115,585852.0,14480.0,3262.516940640339,1.6569825062618049
2020-12-16,611994,10147,588586.0,13261.0,3270.7848389299047,1.6580227910731151
2020-12-17,613357,10182,590977.0,12198.0,3278.069354358914,1.6600446395818422
2020-12-18,614775,10219,593137.0,11419.0,3285.647815751677,1.6622341507055427
2020-12-19,615914,10251,595305.0,10358.0,3291.735169437401,1.6643557379764058
2020-12-20,617005,10277,596580.0,10148.0,3297.5659884638508,1.6656266967042406
2020-12-21,617808,10304,598249.0,9255.0,3301.857599534646,1.6678320772796726
